,course_level,course_rating,course_title,course_type,link,skills
0,beginner,4.6,ibm data science,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesibmdatascience,data science machine learning python programming data analysis data visualization dataviz
1,beginner,4.6,introduction to data science,['specialization'],httpswwwcourseraorgspecializationsintroductiondatascience,data science python programming rstudio sql
2,beginner,4.7,google it automation with python,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesgoogleitautomation,using version control troubleshooting  debugging python programming configuration management automation
3,intermediate,4.8,deep learning,['specialization'],httpswwwcourseraorgspecializationsdeeplearning,tensorflow convolutional neural network artificial neural network deep learning
4,beginner,4.8,google it support,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesgoogleitsupport,google it support
5,beginner,4.8,python for everybody,['specialization'],httpswwwcourseraorgspecializationspython,json xml python programming database dbms
6,mixed,4.9,machine learning,['course'],httpswwwcourseraorglearnmachinelearning,logistic regression artificial neural network machine learning ml algorithms machine learning
7,beginner,4.6,applied data science,['specialization'],httpswwwcourseraorgspecializationsapplieddatascience,data analysis python programming data visualization dataviz matplotlib
8,beginner,4.6,ibm applied ai,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesappliedartificalintelligenceibmwatsonai,data science deep learning artificial intelligence ai machine learning watson ai
9,beginner,4.5,data science,['specialization'],httpswwwcourseraorgspecializationsjhudatascience,github machine learning r programming regression analysis
10,beginner,4.6,ibm data science,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesibmdatascience,data science machine learning python programming data analysis data visualization dataviz
11,beginner,4.6,introduction to data science,['specialization'],httpswwwcourseraorgspecializationsintroductiondatascience,data science python programming rstudio sql
12,beginner,4.7,google it automation with python,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesgoogleitautomation,using version control troubleshooting  debugging python programming configuration management automation
13,intermediate,4.8,deep learning,['specialization'],httpswwwcourseraorgspecializationsdeeplearning,tensorflow convolutional neural network artificial neural network deep learning
14,beginner,4.8,google it support,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesgoogleitsupport,google it support
15,beginner,4.8,python for everybody,['specialization'],httpswwwcourseraorgspecializationspython,json xml python programming database dbms
16,mixed,4.9,machine learning,['course'],httpswwwcourseraorglearnmachinelearning,logistic regression artificial neural network machine learning ml algorithms machine learning
17,beginner,4.6,applied data science,['specialization'],httpswwwcourseraorgspecializationsapplieddatascience,data analysis python programming data visualization dataviz matplotlib
18,beginner,4.6,ibm applied ai,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesappliedartificalintelligenceibmwatsonai,data science deep learning artificial intelligence ai machine learning watson ai
19,beginner,4.5,data science,['specialization'],httpswwwcourseraorgspecializationsjhudatascience,github machine learning r programming regression analysis
20,intermediate,4.7,cloud architecture with google cloud,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesgcpcloudarchitect,cloud architecture with google cloud
21,beginner,4.5,data science foundations using r,['specialization'],httpswwwcourseraorgspecializationsdatasciencefoundationsr,data science machine learning github r programming exploratory data analysis
22,intermediate,4.7,architecting with google compute engine,['specialization'],httpswwwcourseraorgspecializationsgcparchitecture,architecting with google compute engine
23,intermediate,4.7,cloud engineering with google cloud,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatescloudengineeringgcp,cloud engineering with google cloud
24,intermediate,4.7,tensorflow in practice,['specialization'],httpswwwcourseraorgspecializationstensorflowinpractice,computer vision convolutional neural network machine learning natural language processing
25,intermediate,4.6,data engineering with google cloud,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesgcpdataengineering,data engineering with google cloud
26,intermediate,4.7,ibm ai engineering,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesaiengineer,data science deep learning artificial intelligence ai machine learning apache spark
27,beginner,4.7,business foundations,['specialization'],httpswwwcourseraorgspecializationswhartonbusinessfoundations,business foundations
28,intermediate,4.6,data engineering big data and machine learning on gcp,['specialization'],httpswwwcourseraorgspecializationsgcpdatamachinelearning,data engineering big data and machine learning on gcp
29,beginner,4.7,architecting with google kubernetes engine,['specialization'],httpswwwcourseraorgspecializationsarchitectinggooglekubernetesengine,architecting with google kubernetes engine
30,intermediate,4.5,applied data science with python,['specialization'],httpswwwcourseraorgspecializationsdatasciencepython,text mining python programming pandas matplotlib
31,intermediate,4.7,developing applications with google cloud platform,['specialization'],httpswwwcourseraorgspecializationsdevelopingappsgcp,debugging cloud storage google cloud platform cloud computing
32,mixed,4.9,become a cbrs certified professional installer by google,['course'],httpswwwcourseraorglearngooglecbrscpitraining,become a cbrs certified professional installer by google
33,intermediate,4.7,security in google cloud platform,['specialization'],httpswwwcourseraorgspecializationssecuritygooglecloudplatform,cloud computing security data security application security network security policy
34,intermediate,4.7,networking in google cloud platform,['specialization'],httpswwwcourseraorgspecializationsnetworkinggooglecloudplatform,networking in google cloud platform
35,beginner,4.9,excel skills for business,['specialization'],httpswwwcourseraorgspecializationsexcel,data validation microsoft excel microsoft excel macro pivot table
